Country Name,CountryCode,ROL2018,COC2018,GE2018,Rank2018,ROL2019,COC2019,GE2019,Rank2019
Bhutan,BTN,71.15385,91.82692,50.48077,71.15384667,72.59615,91.82692,47.11538,70.51281667
Bolivia,BOL,9.615385,28.84615,25,21.153845,11.05769,25.96154,14.90385,17.30769333
Bosnia and Herzegovina,BIH,46.15385,31.25,15.86539,31.08974667,46.63462,30.28846,14.90385,30.60897667
Botswana,BWA,68.75,77.88461,54.80769,67.14743333,69.23077,75.48077,57.21154,67.30769333
Brazil,BRA,44.71154,40.38462,21.63461,35.57692333,47.59615,42.30769,34.13462,41.34615333
Brunei Darussalam,BRN,74.51923,79.80769,76.92308,77.08333333,74.03846,78.36539,78.36539,76.92308
Bulgaria,BGR,53.36538,50.96154,50.96154,51.76282,54.80769,50.48077,52.40385,52.56410333
Burkina Faso,BFA,34.61538,53.36538,17.30769,35.09615,37.5,49.51923,13.46154,33.49359
Burundi,BDI,5.769231,5.288462,1.923077,4.326923333,5.769231,4.807693,4.326923,4.967949
Cabo Verde,CPV,67.78846,78.36539,51.92308,66.02564333,69.71154,79.80769,50.48077,66.66666667
Cambodia,KHM,11.05769,8.653846,16.34615,12.01922867,17.78846,9.615385,15.38461,14.26281833
Cameroon,CMR,12.5,11.05769,12.01923,11.85897333,11.53846,11.05769,12.5,11.69871667
Canada,CAN,94.71154,93.75,87.98077,92.14743667,94.71154,93.26923,87.5,91.82692333
Cayman Islands,CYM,76.44231,68.26923,74.51923,73.07692333,77.40385,67.78846,73.07692,72.75641
Central African Republic,CAF,3.846154,10.57692,0.9615384,5.128204133,3.365385,10.57692,0.9615384,4.9679478
Chad,TCD,7.211538,6.730769,1.923077,5.288461333,7.211538,5.769231,1.923077,4.967948667
Chile,CHL,83.17308,82.21154,75.48077,80.28846333,82.69231,83.17308,75,80.28846333
China,CHN,48.07692,45.67308,58.65385,50.80128333,45.19231,43.26923,59.61538,49.35897333
Colombia,COL,38.46154,45.19231,39.42308,41.02564333,38.46154,48.07692,40.86538,42.46794667
Comoros,COM,12.01923,22.59615,0.9615384,11.8589728,12.5,15.38461,0.9615384,9.6153828
"Congo, Dem. Rep.",COD,2.884615,3.846154,1.442308,2.724359,2.403846,3.365385,1.442308,2.403846333
"Congo, Rep.",COG,11.53846,7.692307,6.25,8.493589,10.09615,6.25,3.365385,6.570511667
Cook Islands,COK,0,0,0,0,0,0,0,0
Costa Rica,CRI,69.23077,70.67308,54.80769,64.90384667,70.19231,75.96154,55.76923,67.30769333
Cote d'Ivoire,CIV,30.76923,36.53846,17.30769,28.20512667,30.76923,33.65385,20.19231,28.20513
Croatia,HRV,62.98077,60.09615,58.17308,60.41666667,64.90385,60.09615,55.76923,60.25641
Cuba,CUB,35.09615,61.05769,25.48077,40.54487,43.26923,58.65385,31.25,44.39102667
Cyprus,CYP,75.96154,74.03846,72.59615,74.19871667,76.44231,71.63461,73.07692,73.71794667
Czech Republic,CZE,81.73077,69.23077,73.07692,74.67948667,81.73077,68.75,71.63461,74.03846
Denmark,DNK,96.63461,98.55769,91.82692,95.67307333,98.07692,97.59615,92.30769,95.99358667
Djibouti,DJI,17.30769,26.44231,9.615385,17.78846167,18.26923,20.67308,13.46154,17.46795
Dominica,DMA,75,70.19231,17.78846,54.32692333,75,69.71154,17.30769,54.00641
Dominican Republic,DOM,39.90385,24.51923,22.59615,29.00641,41.82692,25,24.51923,30.44871667
Ecuador,ECU,28.36539,32.21154,29.80769,30.12820667,29.80769,34.61538,23.55769,29.32692
"Egypt, Arab Rep.",EGY,37.5,31.73077,17.30769,28.84615333,37.98077,27.88461,23.55769,29.80769
El Salvador,SLV,19.71154,29.80769,20.19231,23.23718,23.55769,32.69231,19.71154,25.32051333
Equatorial Guinea,GNQ,6.730769,2.403846,2.884615,4.00641,6.25,0.4807692,3.365385,3.365384733
Eritrea,ERI,5.288462,9.134615,0.9615384,5.128205133,5.288462,7.211538,0.9615384,4.487179467
Estonia,EST,86.53846,89.90385,76.92308,84.45513,87.01923,90.38461,75.48077,84.29487
Eswatini,SWZ,45.19231,47.11538,14.90385,35.73718,32.69231,35.09615,14.90385,27.56410333
Ethiopia,ETH,36.53846,37.5,16.34615,30.12820333,34.61538,39.90385,15.38461,29.96794667
Fiji,FJI,50,67.30769,39.90385,52.40384667,52.88462,70.19231,38.46154,53.84615667
Finland,FIN,100,100,93.26923,97.75641,100,99.03846,92.30769,97.11538333
France,FRA,88.94231,87.98077,82.69231,86.53846333,89.42308,88.94231,79.80769,86.05769333
French Guiana,GUF,85.57692,81.25,76.92308,81.25,85.57692,80.76923,76.92308,81.08974333
Gabon,GAB,24.51923,18.75,11.53846,18.26923,24.51923,17.78846,10.09615,17.46794667
"Gambia, The",GMB,36.05769,38.94231,16.34615,30.44871667,41.34615,45.19231,15.38461,33.97435667
Georgia,GEO,63.94231,76.44231,62.01923,67.46795,62.01923,74.03846,68.75,68.26923
Germany,DEU,91.34615,95.19231,87.01923,91.18589667,92.30769,95.19231,85.57692,91.02564
Ghana,GHA,56.73077,52.88462,34.13462,47.91667,55.28846,52.40385,33.17308,46.95513
Greece,GRC,59.13462,55.76923,50.96154,55.28846333,60.57692,56.25,53.36538,56.73076667
Greenland,GRL,94.23077,84.13461,57.69231,78.68589667,94.23077,82.21154,57.21154,77.88461667
Grenada,GRD,60.57692,66.82692,19.23077,48.87820333,59.61538,64.90385,24.51923,49.67948667
Guam,GUM,87.98077,86.53846,35.09615,69.87179333,87.98077,87.5,34.61538,70.03205
Guatemala,GTM,15.38461,22.11539,15.38461,17.62820333,13.94231,18.75,14.90385,15.86538667
Guinea,GIN,9.134615,13.94231,9.615385,10.89743667,9.134615,18.26923,13.46154,13.621795
Guinea-Bissau,GNB,8.653846,3.365385,1.442308,4.487179667,7.692307,5.288462,1.923077,4.967948667
Guyana,GUY,40.38462,46.63462,23.55769,36.85897667,36.53846,51.92308,19.71154,36.05769333
Haiti,HTI,13.94231,9.615385,0,7.852565,16.82692,8.173077,0,8.333332333
Honduras,HND,16.34615,29.32692,16.34615,20.67307333,15.38461,23.07692,15.38461,17.94871333
"Hong Kong SAR, China",HKG,95.19231,92.30769,91.82692,93.10897333,91.82692,92.30769,87.98077,90.70512667
Hungary,HUN,71.63461,59.61538,58.17308,63.14102333,68.26923,57.69231,57.69231,61.21795
Iceland,ISL,93.26923,94.23077,81.73077,89.74359,95.19231,92.78846,83.65385,90.54487333
India,IND,55.28846,49.51923,50.96154,51.92307667,52.40385,47.59615,45.19231,48.39743667
Indonesia,IDN,42.78846,46.15385,48.07692,45.67307667,42.30769,37.98077,45.67308,41.98718
"Iran, Islamic Rep.",IRN,25,15.86539,19.71154,20.19231,24.03846,14.90385,15.38461,18.10897333
Iraq,IRQ,3.365385,7.211538,2.884615,4.487179333,3.846154,8.653846,3.365385,5.288461667
Ireland,IRL,89.42308,90.86539,79.80769,86.69872,88.94231,89.42308,78.36539,85.57692667
Israel,ISR,80.76923,79.32692,76.92308,79.00641,82.21154,78.84615,78.36539,79.80769333
Italy,ITA,62.01923,62.01923,55.28846,59.77564,61.53846,62.01923,55.76923,59.77564
Jamaica,JAM,46.63462,50,58.65385,51.76282333,44.23077,54.32692,57.69231,52.08333333
Japan,JPN,90.38461,89.42308,87.5,89.10256333,90.38461,89.90385,85.57692,88.62179333
"Jersey, Channel Islands",JEY,94.23077,82.69231,71.63461,82.85256333,94.23077,82.21154,71.63461,82.69230667
Jordan,JOR,61.05769,60.57692,46.63462,56.08974333,58.17308,60.57692,41.34615,53.36538333
Kazakhstan,KAZ,35.57692,36.05769,39.90385,37.17948667,36.05769,43.75,41.34615,40.38461333
Kenya,KEN,37.98077,19.71154,22.59615,26.76282,35.57692,24.51923,24.51923,28.20512667
Kiribati,KIR,69.71154,64.90385,18.26923,50.96154,75.96154,65.38461,18.75,53.36538333
"Korea, Dem. People’s Rep.",PRK,4.807693,1.923077,0.9615384,2.5641028,4.807693,2.884615,1.923077,3.205128333
"Korea, Rep.",KOR,86.05769,72.11539,76.44231,78.20513,86.05769,76.92308,79.80769,80.92948667
Kosovo,XKX,40.86538,35.57692,18.26923,31.57051,39.90385,31.73077,20.67308,30.76923333
Kuwait,KWT,60.09615,44.71154,35.57692,46.79487,61.05769,50.96154,38.46154,50.16025667
Kyrgyz Republic,KGZ,17.78846,16.34615,15.38461,16.50640667,19.23077,17.30769,13.46154,16.66666667
Lao PDR,LAO,18.75,15.38461,14.42308,16.18589667,17.30769,13.46154,10.57692,13.78205
Latvia,LVA,79.32692,64.42308,75,72.91666667,80.76923,68.26923,75,74.67948667
Lebanon,LBN,23.55769,12.01923,14.90385,16.82692333,19.71154,12.01923,10.57692,14.10256333
Lesotho,LSO,41.82692,53.84615,10.57692,35.41666333,40.38462,55.76923,10.57692,35.57692333
Liberia,LBR,16.82692,20.19231,3.365385,13.46153833,16.34615,19.23077,2.884615,12.82051167
Libya,LBY,2.403846,2.884615,0.9615384,2.083333133,1.923077,2.403846,0.4807692,1.602564067
Liechtenstein,LIE,92.30769,95.67308,84.61539,90.86538667,92.78846,95.67308,84.13461,90.86538333
Lithuania,LTU,79.80769,68.75,75.48077,74.67948667,81.25,74.51923,74.03846,76.60256333
Luxembourg,LUX,95.67308,97.11539,89.42308,94.07051667,95.67308,98.07692,87.5,93.75
"Macao SAR, China",MAC,81.25,76.92308,74.51923,77.56410333,79.32692,75,73.07692,75.80128
Madagascar,MDG,21.15385,14.90385,7.211538,14.42307933,15.86539,15.86539,7.211538,12.98077267
Malawi,MWI,39.42308,25,14.42308,26.28205333,42.78846,24.03846,13.46154,26.76282
Malaysia,MYS,74.03846,63.94231,75.48077,71.15384667,73.07692,62.5,73.55769,69.71153667
Maldives,MDV,31.73077,17.30769,13.94231,20.99359,39.42308,46.15385,21.63461,35.73718
Mali,MLI,21.63461,26.92308,9.134615,19.23076833,20.19231,26.92308,8.653846,18.58974533
Malta,MLT,82.21154,71.63461,73.07692,75.64102333,79.80769,61.53846,68.75,70.03205
Marshall Islands,MHL,52.88462,54.32692,0,35.73718,51.92308,54.80769,0.4807692,35.73717973
Martinique,MTQ,78.84615,86.53846,66.82692,77.40384333,73.55769,87.5,64.90385,75.32051333
Mauritania,MRT,26.44231,23.07692,14.42308,21.31410333,28.84615,20.19231,17.30769,22.11538333
Mauritius,MUS,76.92308,62.98077,73.07692,70.99359,76.92308,63.94231,72.59615,71.15384667
Mexico,MEX,28.84615,19.23077,35.57692,27.88461333,27.40385,22.59615,35.09615,28.36538333
"Micronesia, Fed. Sts.",FSM,53.84615,75.48077,22.59615,50.64102333,54.32692,76.44231,21.63461,50.80128
Moldova,MDA,37.01923,25.96154,18.75,27.24359,40.86538,29.80769,23.55769,31.41025333
Monaco,MCO,0,0,0,0,0,0,0,0
Mongolia,MNG,44.23077,39.90385,33.17308,39.10256667,45.67308,37.5,33.17308,38.78205333
Montenegro,MNE,57.69231,58.17308,43.75,53.20513,57.21154,55.28846,40.86538,51.12179333
Morocco,MAR,49.51923,47.59615,34.13462,43.75,48.55769,45.67308,36.05769,43.42948667
Mozambique,MOZ,14.90385,24.03846,10.57692,16.50641,14.90385,23.55769,12.01923,16.82692333
Myanmar,MMR,15.86539,30.28846,7.692307,17.948719,12.98077,28.84615,5.769231,15.86538367
Namibia,NAM,61.53846,65.38461,45.67308,57.53205,62.5,65.86539,41.34615,56.57051333
Nauru,NRU,25.48077,33.65385,1.923077,20.35256567,23.07692,36.05769,1.923077,20.35256233
Nepal,NPL,33.65385,27.40385,9.615385,23.557695,31.73077,27.40385,7.211538,22.115386
Netherlands,NLD,96.15385,96.15385,91.82692,94.71154,96.15385,96.63461,89.90385,94.23077
Netherlands Antilles,ANT,0,0,0,0,0,0,0,0
New Zealand,NZL,98.07692,99.51923,87.5,95.03205,97.59615,100,86.53846,94.71153667
Nicaragua,NIC,13.46154,12.5,11.53846,12.5,9.615385,12.5,12.5,11.53846167
Niger,NER,30.28846,30.76923,12.01923,24.35897333,32.21154,32.21154,12.5,25.64102667
Nigeria,NGA,18.26923,13.46154,9.134615,13.621795,18.75,12.98077,7.211538,12.98076933
Niue,NIU,0,0,0,0,0,0,0,0
North Macedonia,MKD,43.75,42.30769,39.42308,41.82692333,46.15385,38.94231,38.46154,41.1859
Norway,NOR,99.51923,97.59615,91.82692,96.3141,99.51923,97.11539,90.86539,95.83333667
Oman,OMN,68.26923,62.5,45.67308,58.81410333,70.67308,67.30769,46.63462,61.53846333
Pakistan,PAK,27.40385,23.55769,15.86539,22.27564333,26.44231,21.15385,14.90385,20.83333667
Palau,PLW,62.5,33.65385,1.923077,32.692309,62.98077,36.05769,1.923077,33.65384567
Panama,PAN,51.92308,32.69231,39.42308,41.34615667,50.48077,30.76923,40.38462,40.54487333
Papua New Guinea,PNG,23.07692,17.78846,12.5,17.78846,21.15385,16.82692,10.09615,16.02564
Paraguay,PRY,32.69231,21.15385,18.26923,24.03846333,31.25,22.11539,17.30769,23.55769333
Peru,PER,32.21154,34.61538,33.65385,33.49359,33.17308,36.53846,37.01923,35.57692333
Philippines,PHL,34.13462,34.13462,41.34615,36.53846333,34.13462,31.25,40.38462,35.25641333
Poland,POL,66.82692,74.51923,63.94231,68.42948667,66.34615,71.15385,62.5,66.66666667
Portugal,PRT,85.09615,80.28846,76.92308,80.76923,84.61539,77.40385,75,79.00641333
Puerto Rico,PRI,72.59615,59.13462,22.59615,51.44230667,72.11539,58.17308,24.03846,51.44231
Qatar,QAT,75.48077,77.40385,63.46154,72.11538667,75.48077,79.32692,65.38461,73.39743333
Reunion,REU,84.61539,73.55769,66.82692,75,78.84615,72.59615,64.90385,72.11538333
Romania,ROU,63.46154,52.40385,30.76923,48.87820667,64.42308,51.44231,29.80769,48.55769333
Russian Federation,RUS,20.67308,20.67308,38.94231,26.76282333,25,21.63461,43.75,30.12820333
Rwanda,RWA,58.17308,71.15385,48.55769,59.29487333,56.25,70.67308,46.15385,57.69231
Samoa,WSM,77.88461,75,53.84615,68.91025333,83.17308,73.07692,45.67308,67.30769333
San Marino,SMR,0,0,0,0,0,0,0,0
Sao Tome and Principe,STP,25.96154,61.53846,15.38461,34.29487,25.96154,61.05769,14.90385,33.97436
Saudi Arabia,SAU,58.65385,65.86539,50.96154,58.49359333,58.65385,62.98077,50.96154,57.53205333
Senegal,SEN,47.59615,56.73077,32.69231,45.67307667,47.11538,59.13462,38.46154,48.23718
Serbia,SRB,49.03846,41.82692,42.30769,44.39102333,50,37.01923,38.46154,41.82692333
Seychelles,SYC,59.61538,75.96154,58.65385,64.74359,59.13462,81.25,59.13462,66.50641333
Sierra Leone,SLE,22.59615,37.01923,7.692307,22.43589567,22.59615,38.46154,7.211538,22.75640933
Singapore,SGP,97.11539,99.03846,97.11539,97.75641333,96.63461,99.51923,97.11539,97.75641
Slovak Republic,SVK,70.19231,66.34615,66.82692,67.78846,71.15385,64.42308,64.42308,66.66667
Slovenia,SVN,82.69231,80.76923,75.48077,79.64743667,84.13461,80.28846,75,79.80769
Solomon Islands,SLB,47.11538,57.69231,3.846154,36.217948,48.07692,57.21154,5.288462,36.858974
Somalia,SOM,0,0,0,0,0,0.9615384,0,0.3205128
South Africa,ZAF,50.96154,57.21154,55.28846,54.48718,50.96154,59.61538,55.76923,55.44871667
South Sudan,SSD,1.442308,0.4807692,0,0.641025733,1.442308,0,0,0.480769333
Spain,ESP,80.28846,72.59615,74.51923,75.80128,80.28846,73.55769,73.07692,75.64102333
Sri Lanka,LKA,55.76923,43.26923,31.25,43.42948667,53.84615,44.23077,35.09615,44.39102333
St. Kitts and Nevis,KNA,72.11539,67.78846,46.63462,62.17949,67.30769,66.34615,41.34615,58.33333
St. Lucia,LCA,73.55769,69.71154,39.42308,60.89743667,71.63461,69.23077,38.94231,59.93589667
St. Vincent and the Grenadines,VCT,67.30769,78.84615,39.42308,61.85897333,65.86539,77.88461,38.94231,60.89743667
Sudan,SDN,10.57692,5.769231,0.9615384,5.7692298,10.57692,7.692307,1.442308,6.570511667
Suriname,SUR,52.40385,48.07692,11.53846,37.33974333,51.44231,40.38462,13.46154,35.09615667
Sweden,SWE,98.55769,98.07692,91.34615,95.99358667,98.55769,98.55769,90.86539,95.99359
Switzerland,CHE,99.03846,96.63461,93.75,96.47435667,99.03846,96.15385,92.78846,95.99359
Syrian Arab Republic,SYR,0.9615384,1.442308,0.9615384,1.121794933,0.9615384,1.442308,0.9615384,1.121794933
"Taiwan, China",TWN,83.65385,81.73077,79.32692,81.57051333,85.09615,82.69231,81.73077,83.17307667
Tajikistan,TJK,7.692307,6.25,6.730769,6.891025333,8.653846,9.134615,7.211538,8.333333
Tanzania,TZA,31.25,39.42308,13.46154,28.04487333,29.32692,40.86538,10.57692,26.92307333
Thailand,THA,54.80769,40.86538,54.32692,49.99999667,57.69231,39.42308,53.36538,50.16025667
Timor-Leste,TLS,10.09615,38.46154,8.173077,18.91025567,12.01923,41.34615,10.09615,21.15384333
Togo,TGO,29.80769,25.48077,8.173077,21.15384567,28.36539,25.48077,10.09615,21.31410333
Tonga,TON,64.90385,54.80769,38.94231,52.88461667,66.82692,41.82692,37.01923,48.55769
Trinidad and Tobago,TTO,50.48077,44.23077,46.63462,47.11538667,49.51923,49.03846,39.90385,46.15384667
Tunisia,TUN,56.25,56.25,38.94231,50.48077,55.76923,52.88462,36.53846,48.39743667
Turkey,TUR,42.30769,43.75,39.42308,41.82692333,44.71154,44.71154,39.90385,43.10897667
Turkmenistan,TKM,6.25,8.173077,6.25,6.891025667,6.730769,3.846154,5.288462,5.288461667
Tuvalu,TUV,70.67308,58.65385,9.615385,46.314105,67.78846,66.82692,10.09615,48.23717667
Uganda,UGA,43.26923,14.42308,16.82692,24.83974333,43.75,11.53846,16.34615,23.87820333
Ukraine,UKR,24.03846,18.26923,21.63461,21.3141,25.48077,26.44231,28.84615,26.92307667
United Arab Emirates,ARE,77.40385,83.65385,81.25,80.76923333,77.88461,83.65385,79.80769,80.44871667
United Kingdom,GBR,91.82692,93.26923,78.84615,87.98076667,91.34615,93.75,81.25,88.78205
United States,USA,89.90385,88.46154,86.53846,88.30128333,89.90385,84.61539,83.65385,86.05769667
Uruguay,URY,73.07692,87.5,62.01923,74.19871667,74.51923,87.98077,65.86539,76.12179667
Uzbekistan,UZB,12.98077,12.98077,16.34615,14.10256333,14.42308,14.42308,15.86539,14.90385
Vanuatu,VUT,64.42308,50.48077,14.42308,43.10897667,60.09615,47.11538,12.98077,40.0641
"Venezuela, RB",VEN,0.4807692,4.807693,1.442308,2.243590067,0.4807692,4.326923,1.442308,2.0833334
Vietnam,VNM,54.32692,37.98077,39.42308,43.91025667,53.36538,34.13462,39.42308,42.30769333
Virgin Islands (U.S.),VIR,84.61539,73.55769,55.28846,71.15384667,83.65385,72.59615,54.80769,70.35256333
West Bank and Gaza,PSE,33.17308,48.55769,9.615385,30.44871833,33.65385,46.63462,10.09615,30.12820667
"Yemen, Rep.",YEM,1.923077,0.9615384,0,0.961538467,2.884615,1.923077,0,1.602564
Zambia,ZMB,41.34615,27.88461,17.78846,29.00640667,35.09615,28.36539,14.90385,26.12179667
Zimbabwe,ZWE,8.173077,10.09615,6.730769,8.333332,8.173077,10.09615,6.25,8.173075667
